source,url,type,role_in_project,small_note,validity
VISIONE GitHub,https://github.com/aimh-lab/visione,open-source system,primary framework candidate,"Main adoption-test candidate; includes web UI, multimodal video retrieval flow, and implementation-facing documentation.","High validity for implementation and feature claims because it is the official codebase; lower validity for competitive performance claims on its own."
VISIONE paper/system description,https://arxiv.org/abs/2008.02749,system paper,system understanding,"Explains the design choices behind VISIONE, including multimodal retrieval and indexing logic.","High validity for architecture and stated capabilities; moderate validity for present-day maintainability."
VISIONE 5.0 / VBS2024,https://videobrowsershowdown.org/teams/,VBS competition evidence,performance evidence,"Supports the claim that VISIONE is not just runnable but competitive in real interactive retrieval tasks.","High validity for competition outcome; moderate validity for direct transfer to this exact project setting."
vitrivr official architecture,https://vitrivr.org/vitrivr.html,official system documentation,primary framework candidate,"Describes the vitrivr stack, including UI, retrieval engine, and database components.","High validity for architecture and component boundaries because it is official project documentation."
vitrivr getting started,https://vitrivr.org/getting_started.html,official setup documentation,adoption-risk evidence,"Useful for judging setup cost, runtime requirements, and adoption friction.","High validity for setup expectations; lower validity for long-term extension cost."
Cineast GitHub,https://github.com/vitrivr/cineast,retrieval engine repository,engine capability evidence,"Important for understanding vitrivr's retrieval modalities such as sketch, example-object, and motion queries.","High validity for implementation-facing feature support because it is the engine repository."
vitrivr-engine 2025,https://dbis.dmi.unibas.ch/publications/2025/feature-driven-video-segmentation-and-advanced-querying-with-vitrivr-engine/,modern system paper,forward-looking framework evidence,"Shows more modern vitrivr direction including advanced querying and newer storage compatibility.","Moderate to high validity for research direction; lower validity for immediate reproducibility."
VERGE official page,https://m4d.iti.gr/verge-interactive-image-video-retrieval-engine/,older system page,comparison/reference system,"Useful as evidence for older multimodal retrieval design, but likely not a main baseline candidate.","Moderate validity for feature overview; lower validity for current maintainability and ease of adoption."
VBS Teams and Papers,https://videobrowsershowdown.org/teams/,competition index,source discovery and justification,"Useful for confirming that candidate systems are real VBS participants and for finding linked papers.","High validity as an index; not itself strong technical evidence."
VBS 2025 results report,https://arxiv.org/html/2509.12000v1,evaluation report,task-context evidence,"Provides context for why speed, usability, and interactive retrieval matter in large-scale video search.","High validity for task framing and evaluation context."
VBS 2024 results report,https://arxiv.org/html/2502.15683v1,evaluation report,task-context evidence,"Useful for understanding the competitive setting in which VISIONE performed strongly.","High validity for evaluation context and historical performance framing."
Fusionista2.0,https://arxiv.org/abs/2511.12255,system paper,design reference,"Good reference for efficient multimodal retrieval, OCR, ASR, and responsive UI ideas.","Moderate to high validity for design ideas; lower validity as an immediate base unless code is confirmed."
NII-UIT VBS2025,https://dl.acm.org/doi/10.1007/978-981-96-2074-6_38,system paper,advanced method reference,"Useful evidence for LLM query expansion and dynamic temporal search, likely better for later phases than baseline selection.","Moderate to high validity for advanced ideas; lower validity for baseline simplicity."
H-EAGLE,https://doras.dcu.ie/32449/1/Heagle.pdf,research paper,architecture reference,"Interesting hierarchical retrieval direction, but likely too complex for the first baseline.","Moderate validity for future architecture exploration."
PraK / relevance feedback success analysis,https://dl.acm.org/doi/10.1145/3805622.3810635,analysis paper,reranking/reference feedback method,"Useful for later interactive reranking and relevance-feedback ideas.","Moderate validity for future interaction design; not a baseline framework source."
diveXplore 2024,https://arxiv.org/abs/2508.20560,system paper,UI and query orchestration reference,"Useful for query distribution, result merging, fast browsing, and exploration view ideas.","Moderate to high validity for interface and workflow inspiration."
GQE,https://arxiv.org/abs/2408.07249,method paper,query expansion reference,"Supports a future-stage query-expansion path using diverse generated query variants.","High validity for method idea; low relevance to immediate baseline adoption."
RRF original paper,https://cormack.uwaterloo.ca/cormacksigir09-rrf.pdf,method paper,fusion baseline,"Best simple baseline fusion method: easy to explain, easy to implement, and widely reusable.","High validity for a simple unsupervised fusion baseline."
MMMORRF,https://arxiv.org/abs/2503.20698,method paper,modality-aware fusion reference,"Highly relevant to combining CLIP, OCR, ASR, and related signals with weighted rank fusion.","High validity for multimodal fusion design, assuming the project reaches a custom or extended-fusion stage."
