Source title,Link,Year,Problem/task,Dataset,Modalities used,Core model,Index/search method,Pipeline summary,Code?,Weights?,Compute req,Sim to us,Achievability,What to copy,Main risk,Usefulness
"CLIP4Clip: An Empirical Study of CLIP for End to End Video Clip Retrieval",https://arxiv.org/abs/2104.08860,2021,Text-to-Video Retrieval,MSR-VTT,"Visual, Text",CLIP,Dense / FAISS,Frame extraction -> CLIP encode -> Mean pooling -> Search,Yes,Yes,Medium,5,5,"Zero-shot CLIP usage, frame sampling strategy",Ignores temporal dynamics,5
"vitrivr: A flexible retrieval stack (VBS Winner)",https://vitrivr.org/,2022,Interactive Video Retrieval,V3C1,"Visual, OCR, ASR, Metadata","CLIP, Tesseract, OCR",Cineast / Cottontail DB,"Modular extraction offline, multi-modal fusion search online",Yes,Yes,High,4,3,Multi-modal score fusion logic (Late fusion),DB setup is too complex,4
"SOMHunter for Video Browser Showdown",https://arxiv.org/abs/2002.10098,2020,Interactive Search,V3C,"Visual, OCR","ResNet, CLIP",FAISS,Dual-encoder offline indexing + temporal context,Yes,No,Medium,5,4,"UI/Backend separation, FAISS integration",Heavy reliance on UI feedback,4
"Whisper: Robust Speech Recognition via Large-Scale Weak Supervision",https://arxiv.org/abs/2212.04356,2022,ASR & Audio Search,Multiple,"Audio, Text","Whisper, Sentence-Transformers",Dense / FAISS,Extract audio -> Whisper ASR -> Text segments -> MiniLM -> FAISS,Yes,Yes,Low,5,5,"ASR chunking, timestamp alignment",Background noise interference,5
"X-CLIP: End-to-End Multi-grained Contrastive Learning",https://arxiv.org/abs/2207.07285,2022,Video-Text Retrieval,MSR-VTT,"Visual, Text",X-CLIP,FAISS,Cross-modal attention for temporal video features,Yes,Yes,High,4,2,Concept of temporal attention,Training/inference too heavy for baseline,3
"VISIONE 5.0 (VBS 2024)",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_33,2024,Interactive Video Retrieval,V3C1,"Visual, Text, Object",CLIP/ALBEF,Milvus,"Object detection + Visual-Language embeddings for complex queries",Yes,Yes,High,4,3,Milvus integration and multi-model fusion,Too many models to host efficiently,4
"PraK Tool (VBS 2024)",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_31,2024,Known-Item Search,V3C1,"Visual, Metadata",CLIP,FAISS,"Efficient keyframe browsing with advanced UI filters and color features",No,No,Low,3,4,Metadata filtering logic,Closed source system,3
"Vibro (VBS 2024)",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_36,2024,Textual Video Search,V3C,"Visual, Text, OCR",BLIP/CLIP,FAISS,"Deep textual understanding using BLIP combined with OCR pipeline",Yes,Yes,Medium,5,4,OCR and Text pipeline fusion logic,OCR extraction might slow down indexing phase,4
"diveXplore (VBS 2024)",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_34,2024,Interactive Video Retrieval,V3C,"Visual, Text",CLIP,HNSWLib,"Fast interactive retrieval tailored for novices using HNSW graphs",Yes,Yes,Low,4,5,HNSWLib indexing alternative to FAISS,System focuses too much on UI rather than complex backend,4
"Exquisitor at VBS 2024",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_35,2024,Interactive Search,V3C,"Visual",CLIP/ResNet,Custom Graph,"Relevance feedback with conversational search loop",Yes,No,Medium,3,2,Relevance feedback mechanism,Conversational search architecture is too hard for v0,3
"VERGE in VBS 2024",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_30,2024,Video Retrieval,V3C1,"Visual, Audio, Object",CLIP/YOLO/AudioSet,FAISS,"Extensive feature extraction across all modalities (Audio/Visual/Objects)",Yes,Yes,High,4,3,Object detection bounding box indexing,Requires too much VRAM for full pipeline,4
"TalkSee (VBS 2024)",https://link.springer.com/chapter/10.1007/978-3-031-53302-0_32,2024,Conversational Video Search,V3C,"Text, Visual",LLaMA/CLIP,FAISS,"LLM acts as agent to translate user query to search parameters",Yes,Yes,High,2,2,LLM query expansion concept,Running local LLM is too heavy and slow for us right now,3
"Memento 4.0 (LSC 2024)",https://dl.acm.org/doi/10.1145/3643834.3661642,2024,Lifelog Retrieval,LSC24,"Visual, Location, Time",CLIP,Qdrant,"Multi-modal conversational lifelog search engine using Qdrant",Yes,Yes,Medium,4,4,Metadata filtering (Time/Location) via Qdrant,Targeted primarily at images/lifelogs not continuous video,3
"LifeLens 2.0 (LSC 2024)",https://dl.acm.org/doi/10.1145/3643834.3661639,2024,Lifelog Retrieval,LSC,"Visual, Concept",CLIP/FasterRCNN,FAISS,"Concept-based search combined with visual embeddings",No,No,Medium,3,3,Concept extraction mapping,No code available for reference,2
"U-CESE: Unified Clip-based Search (HCMC AI)",https://github.com/u-cese,2024,Video Event Retrieval,AIC,"Visual",CLIP/BLIP,FAISS,"Training-free keyframe extraction and unified CLIP embedding logic",Yes,Yes,Low,5,5,Training-free frame sampling logic,Only focuses on visual modality (lacks audio),4
